,Punct-Token Frequencies
",",0.32682458654998703
.,0.2817118045950998
"""",0.07459283660656658
:,0.06609751804259813
“,0.05842365110099664
„,0.0373048004626952
),0.022791091440977025
”,0.022346836992145916
(,0.022258824318320887
!,0.01847427934384456
?,0.012740882306099698
–,0.012535519400507959
/,0.008499509643674403
-,0.00600162613892591
;,0.005108926161557741
',0.0030175773882867704
’,0.002791259084165263
],0.002791259084165263
[,0.0027116285697521393
…,0.0025775140191616162
*,0.0022212722441555394
%,0.0013579098247290468
‚,0.001349527665317139
‘,0.001290852549433785
...,0.001077107484430139
&,0.000687337071776431
#,0.00039815257206561556
{,0.00030175773882867705
..,0.0002975666591227232
},0.00029337557941676935
§,0.00023889154323936931
»,0.00023050938382746162
—,0.00021793614470960008
«,0.00017183426794410776
•,4.6101876765492325e-05
†,4.191079705953848e-05
@,2.095539852976924e-05
……,2.095539852976924e-05
:-),1.6764318823815392e-05
_,1.6764318823815392e-05
;),1.6764318823815392e-05
--,1.2573239117861543e-05
/-,1.2573239117861543e-05
:),1.2573239117861543e-05
;-),8.382159411907696e-06
¡,8.382159411907696e-06
""")",4.191079705953848e-06
'',4.191079705953848e-06
?’-,4.191079705953848e-06
:-(,4.191079705953848e-06
