,Finegrained Tag Frequencies
NN,0.2956985831374293
NE,0.11963911303132346
APPR,0.11216299214266048
VVFIN,0.0782980706101616
ADJA,0.06599318042230552
ADV,0.041658724611898255
ADJD,0.03246711989325878
ART,0.03229768939153271
VVPP,0.025880509138657685
CARD,0.022703687231293814
VVINF,0.019569222949361458
VAFIN,0.01647711629286062
APPRART,0.01529110278077811
PTKVZ,0.014189804519558634
PPER,0.012580214753160937
KON,0.011838956308109367
VMFIN,0.011203591926636593
PIAT,0.009657538598386174
PRF,0.00851388271173518
KOUS,0.0074125844505157044
PTKNEG,0.005972425185844081
PTKZU,0.0057606370586864904
PPOSAT,0.005527670118813139
PIS,0.00351568291081602
KOUI,0.00326153715822691
VAINF,0.0029438549674905227
PRELS,0.002477921087743821
FM,0.0020331660207128788
PTKA,0.0017154838299764915
KOKOM,0.001651947391829214
PWAV,0.001630768579113455
PDS,0.0013342652010928267
VVIZU,0.0013130863883770677
PDAT,0.0012707287629455492
PWS,0.0012495499502297902
VMINF,0.0010589406357879576
XY,0.0010377618230721986
PROAV,0.0007200796323358113
TRUNC,0.0005930067560412563
PTKANT,0.0003176821907363873
VAPP,0.000275324565304869
PWAT,0.00016943050172607324
ITJ,0.00014825168901031407
VVIMP,0.00014825168901031407
$(,0.00012707287629455492
APPO,8.471525086303662e-05
PRELAT,4.235762543151831e-05
VMPP,2.1178812715759155e-05
PPOSS,2.1178812715759155e-05
APZR,2.1178812715759155e-05
