,Token Bigrams
Donald Trump,0.0024984384759525295
Angela Merkel,0.00226420986883198
FC Bayern,0.0020299812617114305
Martin Schulz,0.0011711430356027483
Sigmar Gabriel,0.0010930668332292317
Bayern München,0.0010930668332292317
Kim Jong-un,0.0010930668332292317
Blauer Bote,0.0010149906308557152
Bote Magazin,0.0010149906308557152
Chefredaktion informiert,0.0010149906308557152
+ +,0.0009369144284821987
Jogi Löw,0.0007807620237351655
Chuck Norris,0.0007026858213616489
Team Stronach,0.0007026858213616489
Wiener Linien,0.0007026858213616489
Millionen Euro,0.0006246096189881324
Frauke Petry,0.0006246096189881324
Helmut Schmidt,0.0006246096189881324
Norbert Hofer,0.0005465334166146158
Christian Wulff,0.0005465334166146158
Kim Jong,0.0005465334166146158
de Maizière,0.0005465334166146158
Lothar Matthäus,0.0005465334166146158
Uli Hoeneß,0.0005465334166146158
Erwin Pröll,0.00046845721424109934
Polizei nimmt,0.00046845721424109934
Richard Lugner,0.00046845721424109934
Flughafen BER,0.00046845721424109934
Andreas Gabalier,0.00046845721424109934
Bernd Lucke,0.00046845721424109934
Philipp Lahm,0.00046845721424109934
Rainer Pariasek,0.00046845721424109934
Peter Pilz,0.00046845721424109934
IS bekennt,0.00039038101186758274
Erdogan lässt,0.00039038101186758274
Manuel Neuer,0.00039038101186758274
Jong Un,0.00039038101186758274
Björn Höcke,0.00039038101186758274
Bundesregierung beschließt,0.00039038101186758274
Til Schweiger,0.00039038101186758274
Real Madrid,0.00039038101186758274
Werder Bremen,0.00039038101186758274
Sepp Blatter,0.00039038101186758274
Postillon boykottiert,0.00039038101186758274
EU beschließt,0.00039038101186758274
1. April,0.00039038101186758274
AfD fordert,0.00039038101186758274
Studie belegt,0.00039038101186758274
Weißen Haus,0.00039038101186758274
fordert Verbot,0.00039038101186758274
